disease,severity,lang,point1,point2,point3,point4,point5,point6,point7,point8,point9,point10,point11,point12,point13,point14,point15
Tomato_Leaf_Mold,25-50,te,Tomato Leaf Mold వ్యాధి కొన్ని ఆకులకు వ్యాపించినట్లు కనిపిస్తుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Leaf_Mold,50-75,en,Severe infection of Tomato Leaf Mold affecting many leaves,Inspect nearby plants to evaluate spread,Remove and destroy heavily infected plant parts,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Use systemic fungicide according to agricultural guidelines,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Leaf_Mold,50-75,te,Tomato Leaf Mold వ్యాధి తీవ్రంగా వ్యాపిస్తోంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,బాగా ప్రభావితమైన మొక్క భాగాలను తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Leaf_Mold,75-100,en,Critical outbreak of Tomato Leaf Mold detected in crop,Inspect nearby plants to evaluate spread,Uproot severely infected plants to prevent spread,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply strong systemic fungicide or pesticide program,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Immediate consultation with agriculture expert is strongly recommended,Maintain regular monitoring every 2–3 days
Tomato_Leaf_Mold,75-100,te,Tomato Leaf Mold వ్యాధి తీవ్రమైన స్థాయికి చేరుకుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,చాలా ప్రభావితమైన మొక్కలను పూర్తిగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Septoria_leaf_spot,0-25,en,Symptoms of Tomato Septoria leaf spot are starting to appear on leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply recommended fungicide or pesticide if needed,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Septoria_leaf_spot,0-25,te,Tomato Septoria leaf spot లక్షణాలు ఆకులపై కనిపించడం ప్రారంభమయ్యాయి,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Septoria_leaf_spot,25-50,en,Moderate infection of Tomato Septoria leaf spot observed on several leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply preventive fungicide spray such as Mancozeb or Copper oxychloride,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Septoria_leaf_spot,25-50,te,Tomato Septoria leaf spot వ్యాధి కొన్ని ఆకులకు వ్యాపించినట్లు కనిపిస్తుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Septoria_leaf_spot,50-75,en,Severe infection of Tomato Septoria leaf spot affecting many leaves,Inspect nearby plants to evaluate spread,Remove and destroy heavily infected plant parts,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Use systemic fungicide according to agricultural guidelines,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Septoria_leaf_spot,50-75,te,Tomato Septoria leaf spot వ్యాధి తీవ్రంగా వ్యాపిస్తోంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,బాగా ప్రభావితమైన మొక్క భాగాలను తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Septoria_leaf_spot,75-100,en,Critical outbreak of Tomato Septoria leaf spot detected in crop,Inspect nearby plants to evaluate spread,Uproot severely infected plants to prevent spread,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply strong systemic fungicide or pesticide program,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Immediate consultation with agriculture expert is strongly recommended,Maintain regular monitoring every 2–3 days
Tomato_Septoria_leaf_spot,75-100,te,Tomato Septoria leaf spot వ్యాధి తీవ్రమైన స్థాయికి చేరుకుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,చాలా ప్రభావితమైన మొక్కలను పూర్తిగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Spider_mites_Two_spotted_spider_mite,0-25,en,Symptoms of Tomato Spider mites Two spotted spider mite are starting to appear on leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply recommended fungicide or pesticide if needed,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Spider_mites_Two_spotted_spider_mite,0-25,te,Tomato Spider mites Two spotted spider mite లక్షణాలు ఆకులపై కనిపించడం ప్రారంభమయ్యాయి,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Spider_mites_Two_spotted_spider_mite,25-50,en,Moderate infection of Tomato Spider mites Two spotted spider mite observed on several leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply preventive fungicide spray such as Mancozeb or Copper oxychloride,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Spider_mites_Two_spotted_spider_mite,25-50,te,Tomato Spider mites Two spotted spider mite వ్యాధి కొన్ని ఆకులకు వ్యాపించినట్లు కనిపిస్తుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Spider_mites_Two_spotted_spider_mite,50-75,en,Severe infection of Tomato Spider mites Two spotted spider mite affecting many leaves,Inspect nearby plants to evaluate spread,Remove and destroy heavily infected plant parts,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Use systemic fungicide according to agricultural guidelines,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Spider_mites_Two_spotted_spider_mite,50-75,te,Tomato Spider mites Two spotted spider mite వ్యాధి తీవ్రంగా వ్యాపిస్తోంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,బాగా ప్రభావితమైన మొక్క భాగాలను తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Spider_mites_Two_spotted_spider_mite,75-100,en,Critical outbreak of Tomato Spider mites Two spotted spider mite detected in crop,Inspect nearby plants to evaluate spread,Uproot severely infected plants to prevent spread,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply strong systemic fungicide or pesticide program,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Immediate consultation with agriculture expert is strongly recommended,Maintain regular monitoring every 2–3 days
Tomato_Spider_mites_Two_spotted_spider_mite,75-100,te,Tomato Spider mites Two spotted spider mite వ్యాధి తీవ్రమైన స్థాయికి చేరుకుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,చాలా ప్రభావితమైన మొక్కలను పూర్తిగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato__Target_Spot,0-25,en,Symptoms of Tomato  Target Spot are starting to appear on leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply recommended fungicide or pesticide if needed,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato__Target_Spot,0-25,te,Tomato  Target Spot లక్షణాలు ఆకులపై కనిపించడం ప్రారంభమయ్యాయి,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato__Target_Spot,25-50,en,Moderate infection of Tomato  Target Spot observed on several leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply preventive fungicide spray such as Mancozeb or Copper oxychloride,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato__Target_Spot,25-50,te,Tomato  Target Spot వ్యాధి కొన్ని ఆకులకు వ్యాపించినట్లు కనిపిస్తుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato__Target_Spot,50-75,en,Severe infection of Tomato  Target Spot affecting many leaves,Inspect nearby plants to evaluate spread,Remove and destroy heavily infected plant parts,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Use systemic fungicide according to agricultural guidelines,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato__Target_Spot,50-75,te,Tomato  Target Spot వ్యాధి తీవ్రంగా వ్యాపిస్తోంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,బాగా ప్రభావితమైన మొక్క భాగాలను తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato__Target_Spot,75-100,en,Critical outbreak of Tomato  Target Spot detected in crop,Inspect nearby plants to evaluate spread,Uproot severely infected plants to prevent spread,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply strong systemic fungicide or pesticide program,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Immediate consultation with agriculture expert is strongly recommended,Maintain regular monitoring every 2–3 days
Tomato__Target_Spot,75-100,te,Tomato  Target Spot వ్యాధి తీవ్రమైన స్థాయికి చేరుకుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,చాలా ప్రభావితమైన మొక్కలను పూర్తిగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato__Tomato_YellowLeaf__Curl_Virus,0-25,en,Symptoms of Tomato  Tomato YellowLeaf  Curl Virus are starting to appear on leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply recommended fungicide or pesticide if needed,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
